Codigo;Nombre;Garantia
10600;MI PRIMER HOYA - Array 1.50 Hilux Clear ((USO INTERNO));SI
10610;MI PRIMER HOYA - Array 1.50 Hilux Clear Blue Filter Add hasta 1.75;SI
10612;MI PRIMER HOYA - Array 1.50 Hilux Sensity 2 Grey Add hasta 1.75;SI
10620;MI PRIMER HOYA - Array 1.59 Hilux Clear Blue Filter Add hasta 1.75;SI
10622;MI PRIMER HOYA - Array 1.59 Hilux Sensity 2 Grey Add hasta 1.75;SI
10624;MI PRIMER HOYA - Array 1.59 Hilux Polarized Grey Add hasta 1.75;SI
10626;MI PRIMER HOYA - Array 1.59 Hilux Polarized Brown Add hasta 1.75;SI
10628;MI PRIMER HOYA - Array 1.59 Hilux Polarized Green Add hasta 1.75;SI
10630;MI PRIMER HOYA - Array 1.60 Hilux MR-8 Clear Add hasta 1.75;SI
10632;MI PRIMER HOYA - Array 1.60 Hilux MR-8 Filter 420 Add hasta 1.75;SI
10634;MI PRIMER HOYA - Array 1.60 Hilux MR-8 Sensity 2 Grey Add hasta 1.75;SI
10636;MI PRIMER HOYA - Array 1.60 Hilux MR-8 Sensity 2 Brown Add hasta 1.75;SI
10638;MI PRIMER HOYA - Array 1.60 Hilux MR-8 Sensity 2 Green Add hasta 1.75;SI
10640;MI PRIMER HOYA - Summit 1.50 Hilux Clear ((USO INTERNO));SI
10650;MI PRIMER HOYA - Summit 1.50 Hilux Clear Blue Filter Add hasta 1.75;SI
10652;MI PRIMER HOYA - Summit 1.50 Hilux Sensity 2 Grey Add hasta 1.75;SI
10660;MI PRIMER HOYA - Summit 1.59 Hilux Clear Blue Filter Add hasta 1.75;SI
10662;MI PRIMER HOYA - Summit 1.59 Hilux Sensity 2 Grey Add hasta 1.75;SI
10664;MI PRIMER HOYA - Summit 1.59 Hilux Polarized Grey Add hasta 1.75;SI
10666;MI PRIMER HOYA - Summit 1.59 Hilux Polarized Brown Add hasta 1.75;SI
10668;MI PRIMER HOYA - Summit 1.59 Hilux Polarized Green Add hasta 1.75;SI
10670;MI PRIMER HOYA - Summit 1.60 Hilux MR-8 Clear Add hasta 1.75;SI
10672;MI PRIMER HOYA - Summit 1.60 Hilux MR-8 Filter 420 Add hasta 1.75;SI
10674;MI PRIMER HOYA - Summit 1.60 Hilux MR-8 Sensity 2 Grey Add hasta 1.75;SI
10676;MI PRIMER HOYA - Summit 1.60 Hilux MR-8 Sensity 2 Brown Add hasta 1.75;SI
10678;MI PRIMER HOYA - Summit 1.60 Hilux MR-8 Sensity 2 Green Add hasta 1.75;SI
11000;IDLS3 URBAN 1.50 Hilux Clear;SI
11002;IDLS3 URBAN 1.50 Hilux Sensity 2 Grey;SI
11004;IDLS4 URBAN 1.50 Hilux Clear;SI
11006;IDLS4 URBAN 1.50 Hilux Sensity 2 Grey;SI
11050;IDLS3 INDOOR 1.50 Hilux Clear;SI
11052;IDLS3 INDOOR 1.50 Hilux Sensity 2 Grey;SI
11054;IDLS4 INDOOR 1.50 Hilux Clear;SI
11056;IDLS4 INDOOR 1.50 Hilux Sensity 2 Grey;SI
11100;IDLS3 OUTDOOR 1.50 Hilux Clear;SI
11102;IDLS3 OUTDOOR 1.50 Hilux Sensity 2 Grey;SI
11104;IDLS4 OUTDOOR 1.50 Hilux Clear;SI
11106;IDLS4 OUTDOOR 1.50 Hilux Sensity 2 Grey;SI
11108;IDLS4 OUTDOOR 1.60 Hilux Clear;SI
11110;IDLS4 OUTDOOR 1.60 Hilux Sensity 2 Grey;SI
11200;MiYOSMART Clear;SI
11201;MiYOSMART Clear (Rango Lab);SI
11205;MiYOSMART Clear Stock;SI
11210;MiYOSMART Sunbird;SI
11215;MiYOSMART Sunbird Stock;SI
11220;MiYOSMART Chamaleon;SI
11225;MiYOSMART Chamaleon Stock;SI
20000;PENTAX All Focus PRO 1.50 Clear;SI
20005;PENTAX All Focus PRO 1.50 Sensity Grey;SI
20010;PENTAX All Focus PRO 1.59 Clear;SI
20015;PENTAX All Focus PRO 1.60 Blue Filter UV-420;SI
20040;PENTAX All Focus FLEX 1.50 Clear;SI
20045;PENTAX All Focus FLEX 1.50 Sensity Grey;SI
20050;PENTAX All Focus FLEX 1.59 Clear;SI
20055;PENTAX All Focus FLEX 1.60 Blue Filter UV-420;SI
20060;PENTAX OFFICE DP 40 1.50 Clear;SI
20065;PENTAX OFFICE DP 40 1.59 Clear;SI
20070;PENTAX OFFICE DP 40 1.60 Blue Filter UV-420;SI
20080;PENTAX OFFICE DP 60 1.50 Clear;SI
20085;PENTAX OFFICE DP 60 1.59 Clear;SI
20090;PENTAX OFFICE DP 60 1.60 Blue Filter UV-420;SI
