Codigo;Nombre;Garantia
5226;Amplitude DIFFERENT 1.67 Orgathin SUNMATIC Gris;SI
5250;Amplitude INVISIBLE 1.50 Orgánico Blanco;SI
5252;Amplitude INVISIBLE 1.50 Orgánico Photo Lite;SI
5254;Amplitude INVISIBLE 1.50 Orgánico SUNMATIC Gris;SI
5256;Amplitude INVISIBLE 1.50 Orgánico SUNMATIC Café;SI
5264;Amplitude INVISIBLE 1.50 Orgánico Polarizado Gris;SI
5266;Amplitude INVISIBLE 1.59 Policarbonato Blanco;SI
5268;Amplitude INVISIBLE 1.59 Poli Foto Neochromes Gris;SI
5270;Amplitude INVISIBLE 1.60 MR-8 Blanco;SI
5272;Amplitude INVISIBLE 1.60 MR-8 Control Blue;SI
5274;Amplitude INVISIBLE 1.67 Orgathin Blanco;SI
5275;Amplitude INVISIBLE 1.60 MR-8 SUNMATIC Gris;SI
5276;Amplitude INVISIBLE 1.67 Orgathin SUNMATIC Gris;SI
5300;Amplitude FLAT TOP 1.50 Orgánico Blanco;SI
5302;Amplitude FLAT TOP 1.50 Orgánico Photo Lite;SI
5304;Amplitude FLAT TOP 1.59 Policarbonato Blanco;SI
5350;Bifocal TPD Flat Top 1.50 Orgánico Blanco;NO
5352;Bifocal TPD Flat Top 1.50 Orgánico Photo Lite;NO
5354;Bifocal TPD Flat Top 1.59 Policarbonato Blanco;NO
5400;Amplitude FREESTYLE IA 1.50 Orgánico Blanco;SI
5402;Amplitude FREESTYLE IA 1.50 Orgánico Smart Control;SI
5404;Amplitude FREESTYLE IA 1.50 Orgánico SUNMATIC Gris;SI
5405;Amplitude FREESTYLE IA 1.50 Orgánico SUNMATIC Azul;SI
5406;Amplitude FREESTYLE IA 1.50 Orgánico SUNMATIC Café;SI
5407;Amplitude FREESTYLE IA 1.50 Orgánico SUNMATIC Rosado;SI
5414;Amplitude FREESTYLE IA 1.50 Orgánico Polarizado Gris;SI
5416;Amplitude FREESTYLE IA 1.50 Orgánico Polarizado Café;SI
